municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Hortaleza;04/03/2020 07:00;;1,59;;1,59;79616
Madrid-Villaverde;04/03/2020 07:00;;0,67;;0,67;79617
Madrid-Villa de Vallecas;04/03/2020 07:00;;1,81;;1,81;79618
Madrid-Vicalvaro;04/03/2020 07:00;;0;;0;079619,,
Pozuelo de Alarcón;04/03/2020 07:00;;4,63;;4,63;1150
San Agustín del Guadalix;04/03/2020 07:00;;7,47;;7,47;1296
Las Rozas de Madrid;04/03/2020 07:00;;1,04;;1,04;1277
Moraleja de Enmedio;04/03/2020 07:00;;0;;0;0894,,
Valdaracete;04/03/2020 07:00;;0;;0;1551,,
Pozuelo del Rey;04/03/2020 07:00;;0;;0;1163,,
Puebla de la Sierra;04/03/2020 07:00;;0;;0;1185,,
Perales de Tajuña;04/03/2020 07:00;;0;;0;1104,,
Torres de la Alameda;15/03/2020 07:00;6;77,13;6;77,13;1548
Somosierra;15/03/2020 07:00;;0;;0;1436,,
Orusco de Tajuña;15/03/2020 07:00;;0;;0;1028,,
La Hiruela;15/03/2020 07:00;;0;;0;0698,,
Cervera de Buitrago;15/03/2020 07:00;;0;;0;0395,,
Getafe;15/03/2020 07:00;59;32,17;59;32,17;650
Ribatejada;15/03/2020 07:00;;0;;0;1224,,
Villaconejos;15/03/2020 07:00;;29,52;;29,52;1701
Valdetorres de Jarama;15/03/2020 07:00;;22,24;;22,24;1646
Madrid-Retiro;14/03/2020 07:00;119;99,73;119;99,73;79603
Madrid-Salamanca;14/03/2020 07:00;71;48,6;73;49,96;79604
Madrid-Centro;14/03/2020 07:00;66;48,94;67;49,69;79601
Madrid-Arganzuela;14/03/2020 07:00;58;37,71;58;37,71;79602
Madrid-Chamartin;14/03/2020 07:00;106;72,68;106;72,68;79605
Madrid-Tetuan;14/03/2020 07:00;200;126,56;201;127,2;79606
Madrid-Chamberi;14/03/2020 07:00;66;47,35;66;47,35;79607
Madrid-Fuencarral-El Pardo;14/03/2020 07:00;225;91,49;227;92,3;79608
Madrid-Moncloa-Aravaca;14/03/2020 07:00;66;55,27;66;55,27;79609
Madrid-Latina;14/03/2020 07:00;130;54,57;130;54,57;79610
Madrid-Carabanchel;14/03/2020 07:00;107;42,28;107;42,28;79611
Madrid-Usera;14/03/2020 07:00;42;30,06;42;30,06;79612
Madrid-Puente de Vallecas;14/03/2020 07:00;159;67,7;160;68,13;79613
Madrid-San Blas - Canillejas;14/03/2020 07:00;61;38,57;61;38,57;79620
Madrid-Barajas;14/03/2020 07:00;32;65,38;32;65,38;79621
Madrid-Moratalaz;14/03/2020 07:00;60;63,45;60;63,45;79614
