municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Navalcarnero;07/06/2020 09:00;9;30,72;195;665,57;967
San Agustín del Guadalix;07/06/2020 09:00;;37,37;84;627,85;1296
Las Rozas de Madrid;07/06/2020 09:00;9;9,39;829;865,22;1277
Moraleja de Enmedio;07/06/2020 09:00;;19,47;28;545,17;894
Valdaracete;07/06/2020 09:00;;0;7;1149,43;1551
Pozuelo del Rey;07/06/2020 09:00;;87,18;;261,55;1163
Puebla de la Sierra;07/06/2020 09:00;;0;;0;1185,,
Perales de Tajuña;07/06/2020 09:00;;0;11;374,79;1104
Valdemorillo;07/06/2020 09:00;;0;49;391,44;1603
Navalafuente;07/06/2020 09:00;;69,01;8;552,1;941
Velilla de San Antonio;07/06/2020 09:00;;8,17;76;621,12;1678
Villanueva de la Cañada;07/06/2020 09:00;9;41,97;166;774,07;1760
Villanueva del Pardillo;07/06/2020 09:00;;11,64;107;622,82;1776
Nuevo Baztán;07/06/2020 09:00;;47,8;33;525,81;1006
Villamantilla;07/06/2020 09:00;;0;8;555,17;1757
Villamanta;07/06/2020 09:00;;0;14;547,95;1744
Cabanillas de la Sierra;07/06/2020 09:00;;0;10;1322,75;297
Cenicientos;07/06/2020 09:00;;0;32;1574,03;376
Puentes Viejas;07/06/2020 09:00;;0;;294,55;9020
Aranjuez;07/06/2020 09:00;;3,36;466;781,79;133
Cercedilla;07/06/2020 09:00;;0;118;1679,48;382
Santorcaz;07/06/2020 09:00;;0;7;790,07;1369
Coslada;07/06/2020 09:00;18;22,04;845;1034,77;493
Morata de Tajuña;07/06/2020 09:00;;39,05;101;1314,59;915
Robregordo;07/06/2020 09:00;;0;;0;1261,,
Navarredonda y San Mamés;07/06/2020 09:00;;0;;1550,39;973
Venturada;07/06/2020 09:00;;0;;138,7;1697
Navacerrada;07/06/2020 09:00;;33,65;19;639,3;936
Montejo de la Sierra;07/06/2020 09:00;;0;;283,29;881
Fresno de Torote;07/06/2020 09:00;;0;14;630,35;571
Pinilla del Valle;07/06/2020 09:00;;0;;0;1126,,
Valdemaqueda;07/06/2020 09:00;;0;;640,2;1599
Navas del Rey;07/06/2020 09:00;;34,27;82;2810,14;992
Olmeda de las Fuentes;07/06/2020 09:00;;0;;862,07;1013
Bustarviejo;07/06/2020 09:00;;0;9;359,57;284
Becerril de la Sierra;07/06/2020 09:00;;35;35;612,53;186
Fuenlabrada;07/06/2020 09:00;23;11,87;1637;845,12;587
Garganta de los Montes;07/06/2020 09:00;;0;;288,18;626
Pinto;07/06/2020 09:00;18;34,27;319;607,32;1132
Alameda del Valle;07/06/2020 09:00;;0;;0;0035,,
Berzosa del Lozoya;07/06/2020 09:00;;0;;975,61;203
La Serna del Monte;21/04/2020 07:00;;0;;0;1381,,
Los Santos de la Humosa;07/06/2020 09:00;;0;21;810,81;1375
El Álamo;07/06/2020 09:00;7;73,92;99;1045,41;40
Pelayos de la Presa;07/06/2020 09:00;;0;18;693,37;1090
Galapagar;07/06/2020 09:00;;5,93;285;844,64;611
Griñón;07/06/2020 09:00;;19,38;103;998,16;663
Gargantilla del Lozoya y Pinilla de Buitrago;07/06/2020 09:00;;0;;949,37;632
Aldea del Fresno;07/06/2020 09:00;;0;61;2149,4;88
Carabaña;07/06/2020 09:00;;0;14;696,52;357
Talamanca de Jarama;07/06/2020 09:00;;0;62;1607,47;1454
Chapinería;07/06/2020 09:00;;42,96;8;343,64;513
Ciempozuelos;07/06/2020 09:00;;12,2;261;1061,32;409
Ajalvir;07/06/2020 09:00;;0;35;742,78;29
San Lorenzo de El Escorial;07/06/2020 09:00;;16,33;148;805,71;1317
Gascones;07/06/2020 09:00;;0;;0;0647,,
San Martín de la Vega;07/06/2020 09:00;;5,22;97;506;1322
Móstoles;07/06/2020 09:00;54;25,81;2237;1069,39;920
Leganés;07/06/2020 09:00;101;53,2;3235;1703,88;745
Braojos;07/06/2020 09:00;;0;;975,61;246
Cubas de la Sagra;07/06/2020 09:00;;0;30;467,8;506
Algete;07/06/2020 09:00;9;43,67;127;616,18;91
Mejorada del Campo;07/06/2020 09:00;;0;188;807,77;843
Loeches;07/06/2020 09:00;;11,38;50;568,76;758
Parla;07/06/2020 09:00;13;9,99;789;606,34;1065
Fuentidueña de Tajo;07/06/2020 09:00;;0;19;925,47;604
Ambite;07/06/2020 09:00;;0;7;1182,43;112
Torremocha de Jarama;07/06/2020 09:00;;98,14;16;1570,17;1533
Anchuelo;07/06/2020 09:00;;0;7;550,75;127
Los Molinos;07/06/2020 09:00;;22,78;53;1207,56;875
Soto del Real;07/06/2020 09:00;;11,36;70;795,54;1441
Valverde de Alcalá;07/06/2020 09:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;07/06/2020 09:00;;0;38;567,5;590
Horcajo de la Sierra-Aoslos;07/06/2020 09:00;;689,66;;3448,28;702
Valdeolmos-Alalpardo;07/06/2020 09:00;;0;11;265,96;1625
Campo Real;07/06/2020 09:00;;32,21;30;483,09;339
Valdeavero;07/06/2020 09:00;;0;9;579,15;1564
Villamanrique de Tajo;07/06/2020 09:00;;0;;568,99;1739
Cobeña;07/06/2020 09:00;;0;84;1130,86;416
Fresnedillas de la Oliva;07/06/2020 09:00;;0;9;572,52;565
Valdilecha;07/06/2020 09:00;;0;18;613,71;1659
El Berrueco;07/06/2020 09:00;;0;8;1052,63;210
Pezuela de las Torres;07/06/2020 09:00;;0;;237,53;1111
Villar del Olmo;07/06/2020 09:00;;0;;198,91;1795
Guadarrama;07/06/2020 09:00;;12,48;225;1403,44;685
San Martín de Valdeiglesias;07/06/2020 09:00;;35,47;99;1170,35;1338
Torrelodones;07/06/2020 09:00;;8,43;349;1471,52;1527
Boadilla del Monte;07/06/2020 09:00;;9,16;386;707,35;225
Torrejón de Velasco;07/06/2020 09:00;;0;22;502,05;1505
Villanueva de Perales;07/06/2020 09:00;;0;;319,9;1782
Tielmes;07/06/2020 09:00;;37,74;35;1320,75;1467
San Sebastián de los Reyes;07/06/2020 09:00;21;23,52;572;640,71;1343
Guadalix de la Sierra;07/06/2020 09:00;;16,09;51;820,73;679
Humanes de Madrid;07/06/2020 09:00;;15,2;130;658,46;730
Chinchón;07/06/2020 09:00;;0;28;525,23;528
Cadalso de los Vidrios;07/06/2020 09:00;;98,72;14;460,68;318
Hoyo de Manzanares;07/06/2020 09:00;;11,86;42;497,98;724
Torrejón de la Calzada;07/06/2020 09:00;;11,27;41;462,13;1492
Estremera;07/06/2020 09:00;;0;9;714,29;552
Corpa;07/06/2020 09:00;;0;6;841,51;480
Meco;07/06/2020 09:00;;13,98;143;999,65;838
Madarcos;07/06/2020 09:00;;0;;0;0783,,
Zarzalejo;07/06/2020 09:00;;0;43;2593,49;1837
Arganda del Rey;07/06/2020 09:00;;7,22;366;660,78;148
Collado Mediano;07/06/2020 09:00;;0;33;474,27;468
Daganzo de Arriba;07/06/2020 09:00;;0;41;401,76;534
Manzanares El Real;07/06/2020 09:00;;11,31;45;509,05;822
Buitrago del Lozoya;07/06/2020 09:00;;0;15;796,18;278
Valdelaguna;07/06/2020 09:00;;0;;106,72;1570
Valdepiélagos;07/06/2020 09:00;;0;;0;1631,,
Casarrubuelos;07/06/2020 09:00;;0;11;291,16;360
Miraflores de la Sierra;07/06/2020 09:00;;0;39;638,51;856
Paracuellos de Jarama;07/06/2020 09:00;;3,96;73;288,89;1049
El Vellón;07/06/2020 09:00;;0;14;715,02;1684
Lozoya;07/06/2020 09:00;;0;;172,12;761
Collado Villalba;07/06/2020 09:00;8;12,56;549;862,14;474
Colmenarejo;07/06/2020 09:00;;0;47;514,79;442
Villavieja del Lozoya;07/06/2020 09:00;;0;;0;1821,,
Prádena del Rincón;07/06/2020 09:00;;0;;0;1179,,
La Cabrera;07/06/2020 09:00;;0;12;449,94;301
Sevilla la Nueva;07/06/2020 09:00;7;75,12;153;1641,98;1415
La Acebeda;07/06/2020 09:00;;0;;0;0014,,
Redueña;07/06/2020 09:00;;0;;769,23;1219
Robledillo de la Jara;07/06/2020 09:00;;0;;1250;1245,,
La Serna del Monte;07/06/2020 09:00;;0;;0;1381,,
Colmenar de Oreja;07/06/2020 09:00;;24,9;29;361,06;437
Rozas de Puerto Real;07/06/2020 09:00;;188,68;;754,72;1283
Valdemanco;07/06/2020 09:00;;0;;218,82;1586
Brunete;07/06/2020 09:00;;9,31;115;1071,16;262
Titulcia;07/06/2020 09:00;;0;9;685,45;1473
Villa del Prado;07/06/2020 09:00;;61,35;131;2009,2;1718
Lozoyuela-Navas-Sieteiglesias;07/06/2020 09:00;;0;;230,95;9015
Quijorna;07/06/2020 09:00;;0;33;959,58;1198
Valdemoro;07/06/2020 09:00;10;13,16;846;1113,41;1610
Tres Cantos;07/06/2020 09:00;8;16,76;435;911,53;9036
Torrelaguna;07/06/2020 09:00;;0;24;504,2;1512
Rivas-Vaciamadrid;07/06/2020 09:00;9;10,21;587;665,91;1230
El Atazar;07/06/2020 09:00;;0;;0;0164,,
Pedrezuela;07/06/2020 09:00;;33,94;28;475,22;1087
Santa María de la Alameda;07/06/2020 09:00;;0;6;478,47;1356
Horcajuelo de la Sierra;07/06/2020 09:00;;0;;0;0719,,
Arroyomolinos;07/06/2020 09:00;7;22,3;193;614,73;151
Moralzarzal;07/06/2020 09:00;;23,03;79;606,48;908
Canencia;07/06/2020 09:00;;223,71;;671,14;344
Villarejo de Salvanés;07/06/2020 09:00;;13,63;40;545,33;1809
Serranillos del Valle;07/06/2020 09:00;;24,01;38;912,36;1408
Villaviciosa de Odón;07/06/2020 09:00;;7,19;221;793,96;1816
Camarma de Esteruelas;07/06/2020 09:00;;13,63;44;599,78;323
Robledo de Chavela;07/06/2020 09:00;;0;27;632,32;1258
Patones;07/06/2020 09:00;;184,84;10;1848,43;1071
Navalagamella;07/06/2020 09:00;;38,31;7;268,2;954
Rascafría;07/06/2020 09:00;;0;6;360,58;1202
El Boalo;07/06/2020 09:00;;0;44;586,04;231
Majadahonda;07/06/2020 09:00;16;22,28;610;849,27;800
Batres;07/06/2020 09:00;;118,76;10;593,82;170
Alcobendas;07/06/2020 09:00;14;11,96;837;715,14;66
Alcalá de Henares;07/06/2020 09:00;24;12,27;2455;1254,8;53
Colmenar Viejo;07/06/2020 09:00;16;31,53;469;924,1;455
San Fernando de Henares;07/06/2020 09:00;8;20,29;435;1103,16;1300
Villalbilla;07/06/2020 09:00;;0;93;670,13;1723
El Escorial;07/06/2020 09:00;;18,56;142;878,6;549
Colmenar del Arroyo;07/06/2020 09:00;;0;51;2956,52;421
Torrejón de Ardoz;07/06/2020 09:00;29;22,07;1037;789,34;1489
Piñuécar-Gandullas;07/06/2020 09:00;;0;;0;1147,,
Brea de Tajo;07/06/2020 09:00;;190,84;7;1335,88;259
El Molar;07/06/2020 09:00;;0;38;425,15;869
Belmonte de Tajo;07/06/2020 09:00;;0;;300,48;199
Torres de la Alameda;07/06/2020 09:00;;0;78;1002,7;1548
Somosierra;07/06/2020 09:00;;0;;2325,58;1436
Alpedrete;07/06/2020 09:00;;13,72;148;1015,44;105
Orusco de Tajuña;07/06/2020 09:00;6;482,32;23;1848,87;1028
La Hiruela;07/06/2020 09:00;;0;;3508,77;698
Cervera de Buitrago;07/06/2020 09:00;;0;;2000;0395,,
Getafe;07/06/2020 09:00;50;27,27;1486;810,37;650
Ribatejada;07/06/2020 09:00;;0;;255,43;1224
Villaconejos;07/06/2020 09:00;;0;9;265,64;1701
Valdetorres de Jarama;07/06/2020 09:00;;0;18;400,27;1646
Madrid-Retiro;06/06/2020 09:00;55;46,1;1572;1317,5;79603
Madrid-Salamanca;06/06/2020 09:00;21;14,37;1692;1158,08;79604
Madrid-Centro;06/06/2020 09:00;31;22,99;1210;897,31;79601
Madrid-Arganzuela;06/06/2020 09:00;30;19,51;1657;1077,35;79602
Madrid-Chamartin;06/06/2020 09:00;37;25,37;1724;1182,04;79605
Madrid-Tetuan;06/06/2020 09:00;27;17,09;2170;1373,22;79606
Madrid-Chamberi;06/06/2020 09:00;33;23,68;1613;1157,28;79607
Madrid-Fuencarral-El Pardo;06/06/2020 09:00;66;26,84;3082;1253,16;79608
Madrid-Moncloa-Aravaca;06/06/2020 09:00;20;16,75;1459;1221,75;79609
Madrid-Latina;06/06/2020 09:00;70;29,38;2923;1227,03;79610
Madrid-Moratalaz;01/06/2020 07:00;58;61,33;1394;1474,04;79614
Madrid-Ciudad Lineal;01/06/2020 07:00;41;18,96;2255;1042,61;79615
Madrid-Hortaleza;01/06/2020 07:00;35;18,6;1779;945,34;79616
Madrid-Villaverde;01/06/2020 07:00;20;13,43;1450;973,51;79617
Madrid-Villa de Vallecas;01/06/2020 07:00;22;19,93;1246;1128,98;79618
Madrid-Vicalvaro;01/06/2020 07:00;21;29,13;853;1183,23;79619
Pozuelo de Alarcón;01/06/2020 07:00;23;26,61;816;944,2;1150
Alcorcón;01/06/2020 07:00;37;21,7;1903;1116,04;72
Navalcarnero;01/06/2020 07:00;13;44,37;190;648,51;967
San Agustín del Guadalix;01/06/2020 07:00;19;142,01;82;612,9;1296
Las Rozas de Madrid;01/06/2020 07:00;10;10,44;820;855,82;1277
Garganta de los Montes;01/06/2020 07:00;;0;;288,18;626
Madrid-Carabanchel;06/06/2020 09:00;61;24,1;2822;1114,98;79611
Madrid-Usera;06/06/2020 09:00;18;12,88;1443;1032,62;79612
Madrid-Puente de Vallecas;06/06/2020 09:00;73;31,08;3208;1365,94;79613
Madrid-San Blas - Canillejas;06/06/2020 09:00;31;19,6;1515;958;79620
Madrid-Barajas;06/06/2020 09:00;;10,22;436;890,8;79621
Madrid-Moratalaz;06/06/2020 09:00;73;77,19;1436;1518,45;79614
Madrid-Ciudad Lineal;06/06/2020 09:00;52;24,04;2292;1059,72;79615
Madrid-Hortaleza;06/06/2020 09:00;31;16,47;1799;955,96;79616
Madrid-Villaverde;06/06/2020 09:00;32;21,48;1477;991,63;79617
Madrid-Villa de Vallecas;06/06/2020 09:00;19;17,22;1259;1140,76;79618
Madrid-Vicalvaro;06/06/2020 09:00;15;20,81;864;1198,49;79619
Pozuelo de Alarcón;06/06/2020 09:00;17;19,67;830;960,4;1150
Alcorcón;06/06/2020 09:00;24;14,08;1921;1126,59;72
Navalcarnero;06/06/2020 09:00;8;27,31;194;662,16;967
San Agustín del Guadalix;06/06/2020 09:00;;37,37;84;627,85;1296
Las Rozas de Madrid;06/06/2020 09:00;9;9,39;829;865,22;1277
Moraleja de Enmedio;06/06/2020 09:00;;19,47;28;545,17;894
Valdaracete;06/06/2020 09:00;;0;7;1149,43;1551
Pozuelo del Rey;06/06/2020 09:00;;87,18;;261,55;1163
Puebla de la Sierra;06/06/2020 09:00;;0;;0;1185,,
Perales de Tajuña;06/06/2020 09:00;;0;11;374,79;1104
Valdemorillo;06/06/2020 09:00;;0;49;391,44;1603
Navalafuente;06/06/2020 09:00;;69,01;8;552,1;941
Velilla de San Antonio;06/06/2020 09:00;;8,17;76;621,12;1678
Villanueva de la Cañada;06/06/2020 09:00;9;41,97;166;774,07;1760
Villanueva del Pardillo;06/06/2020 09:00;;11,64;107;622,82;1776
Nuevo Baztán;06/06/2020 09:00;;31,87;32;509,88;1006
Villamantilla;06/06/2020 09:00;;0;8;555,17;1757
Villamanta;06/06/2020 09:00;;0;14;547,95;1744
Cabanillas de la Sierra;06/06/2020 09:00;;0;10;1322,75;297
Cenicientos;06/06/2020 09:00;;0;32;1574,03;376
Puentes Viejas;06/06/2020 09:00;;0;;294,55;9020
Aranjuez;06/06/2020 09:00;;3,36;466;781,79;133
Cercedilla;06/06/2020 09:00;;0;118;1679,48;382
Santorcaz;06/06/2020 09:00;;0;7;790,07;1369
Coslada;06/06/2020 09:00;16;19,59;842;1031,09;493
Morata de Tajuña;06/06/2020 09:00;;39,05;101;1314,59;915
Robregordo;06/06/2020 09:00;;0;;0;1261,,
Navarredonda y San Mamés;06/06/2020 09:00;;0;;1550,39;973
Venturada;06/06/2020 09:00;;0;;138,7;1697
Navacerrada;06/06/2020 09:00;;33,65;19;639,3;936
Montejo de la Sierra;06/06/2020 09:00;;0;;283,29;881
Fresno de Torote;06/06/2020 09:00;;0;14;630,35;571
Pinilla del Valle;06/06/2020 09:00;;0;;0;1126,,
Valdemaqueda;06/06/2020 09:00;;0;;640,2;1599
Navas del Rey;06/06/2020 09:00;;34,27;82;2810,14;992
Olmeda de las Fuentes;06/06/2020 09:00;;0;;862,07;1013
Bustarviejo;06/06/2020 09:00;;0;9;359,57;284
Becerril de la Sierra;06/06/2020 09:00;;35;35;612,53;186
Fuenlabrada;06/06/2020 09:00;24;12,39;1634;843,57;587
Garganta de los Montes;06/06/2020 09:00;;0;;288,18;626
Pinto;06/06/2020 09:00;16;30,46;317;603,51;1132
Alameda del Valle;06/06/2020 09:00;;0;;0;0035,,
Berzosa del Lozoya;06/06/2020 09:00;;0;;975,61;203
Los Santos de la Humosa;06/06/2020 09:00;;0;20;772,2;1375
El Álamo;06/06/2020 09:00;7;73,92;99;1045,41;40
Pelayos de la Presa;06/06/2020 09:00;;0;18;693,37;1090
Galapagar;06/06/2020 09:00;;5,93;285;844,64;611
Griñón;06/06/2020 09:00;;9,69;101;978,78;663
Gargantilla del Lozoya y Pinilla de Buitrago;06/06/2020 09:00;;0;;949,37;632
Aldea del Fresno;06/06/2020 09:00;;0;61;2149,4;88
Carabaña;06/06/2020 09:00;;0;14;696,52;357
Talamanca de Jarama;06/06/2020 09:00;;0;62;1607,47;1454
Chapinería;06/06/2020 09:00;;42,96;8;343,64;513
Ciempozuelos;06/06/2020 09:00;;12,2;261;1061,32;409
Ajalvir;06/06/2020 09:00;;0;35;742,78;29
San Lorenzo de El Escorial;06/06/2020 09:00;;16,33;148;805,71;1317
Gascones;06/06/2020 09:00;;0;;0;0647,,
Valdemanco;08/04/2020 07:00;;0;;0;1586,,
San Martín de la Vega;06/06/2020 09:00;;5,22;97;506;1322
Móstoles;06/06/2020 09:00;52;24,86;2235;1068,44;920
Leganés;06/06/2020 09:00;91;47,93;3222;1697,03;745
Braojos;06/06/2020 09:00;;0;;975,61;246
Cubas de la Sagra;06/06/2020 09:00;;0;30;467,8;506
Algete;06/06/2020 09:00;9;43,67;127;616,18;91
Mejorada del Campo;06/06/2020 09:00;;0;188;807,77;843
Loeches;06/06/2020 09:00;;11,38;50;568,76;758
Parla;06/06/2020 09:00;9;6,92;783;601,73;1065
Fuentidueña de Tajo;06/06/2020 09:00;;0;19;925,47;604
Ambite;06/06/2020 09:00;;0;7;1182,43;112
Torremocha de Jarama;06/06/2020 09:00;;98,14;16;1570,17;1533
Anchuelo;06/06/2020 09:00;;0;7;550,75;127
Los Molinos;06/06/2020 09:00;;22,78;53;1207,56;875
Soto del Real;06/06/2020 09:00;;11,36;70;795,54;1441
Valverde de Alcalá;06/06/2020 09:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;06/06/2020 09:00;;0;38;567,5;590
Horcajo de la Sierra-Aoslos;06/06/2020 09:00;;689,66;;3448,28;702
Valdeolmos-Alalpardo;06/06/2020 09:00;;0;11;265,96;1625
Campo Real;06/06/2020 09:00;;16,1;29;466,99;339
Valdeavero;06/06/2020 09:00;;0;9;579,15;1564
Villamanrique de Tajo;06/06/2020 09:00;;0;;568,99;1739
Cobeña;06/06/2020 09:00;;13,46;84;1130,86;416
Fresnedillas de la Oliva;06/06/2020 09:00;;0;9;572,52;565
Valdilecha;06/06/2020 09:00;;0;18;613,71;1659
El Berrueco;06/06/2020 09:00;;0;8;1052,63;210
Pezuela de las Torres;06/06/2020 09:00;;0;;237,53;1111
Villar del Olmo;06/06/2020 09:00;;0;;198,91;1795
Guadarrama;06/06/2020 09:00;;24,95;225;1403,44;685
San Martín de Valdeiglesias;06/06/2020 09:00;;35,47;99;1170,35;1338
Torrelodones;06/06/2020 09:00;;8,43;349;1471,52;1527
Boadilla del Monte;06/06/2020 09:00;;7,33;385;705,52;225
Torrejón de Velasco;06/06/2020 09:00;;0;22;502,05;1505
Villanueva de Perales;06/06/2020 09:00;;0;;319,9;1782
Tielmes;06/06/2020 09:00;;37,74;35;1320,75;1467
San Sebastián de los Reyes;06/06/2020 09:00;21;23,52;571;639,59;1343
Guadalix de la Sierra;06/06/2020 09:00;;16,09;51;820,73;679
Humanes de Madrid;06/06/2020 09:00;;15,2;130;658,46;730
Chinchón;06/06/2020 09:00;;18,76;28;525,23;528
Cadalso de los Vidrios;06/06/2020 09:00;;98,72;14;460,68;318
Hoyo de Manzanares;06/06/2020 09:00;;11,86;42;497,98;724
Torrejón de la Calzada;06/06/2020 09:00;;11,27;41;462,13;1492
Estremera;06/06/2020 09:00;;0;9;714,29;552
Corpa;06/06/2020 09:00;;0;6;841,51;480
Meco;06/06/2020 09:00;;13,98;143;999,65;838
Madarcos;06/06/2020 09:00;;0;;0;0783,,
Zarzalejo;06/06/2020 09:00;;0;43;2593,49;1837
Arganda del Rey;06/06/2020 09:00;;7,22;366;660,78;148
Collado Mediano;06/06/2020 09:00;;0;33;474,27;468
Daganzo de Arriba;06/06/2020 09:00;;0;41;401,76;534
Manzanares El Real;06/06/2020 09:00;;0;45;509,05;822
Buitrago del Lozoya;06/06/2020 09:00;;0;15;796,18;278
Valdelaguna;06/06/2020 09:00;;0;;106,72;1570
Valdepiélagos;06/06/2020 09:00;;0;;0;1631,,
Casarrubuelos;06/06/2020 09:00;;0;11;291,16;360
Miraflores de la Sierra;06/06/2020 09:00;;0;39;638,51;856
Paracuellos de Jarama;06/06/2020 09:00;;3,96;73;288,89;1049
El Vellón;06/06/2020 09:00;;0;14;715,02;1684
Lozoya;06/06/2020 09:00;;0;;172,12;761
Collado Villalba;06/06/2020 09:00;9;14,13;549;862,14;474
Colmenarejo;06/06/2020 09:00;;0;47;514,79;442
Villavieja del Lozoya;06/06/2020 09:00;;0;;0;1821,,
Prádena del Rincón;06/06/2020 09:00;;0;;0;1179,,
La Cabrera;06/06/2020 09:00;;0;12;449,94;301
Sevilla la Nueva;06/06/2020 09:00;7;75,12;153;1641,98;1415
La Acebeda;06/06/2020 09:00;;0;;0;0014,,
Redueña;06/06/2020 09:00;;0;;769,23;1219
Robledillo de la Jara;06/06/2020 09:00;;0;;1250;1245,,
La Serna del Monte;06/06/2020 09:00;;0;;0;1381,,
Colmenar de Oreja;06/06/2020 09:00;;24,9;29;361,06;437
Rozas de Puerto Real;06/06/2020 09:00;;188,68;;754,72;1283
Brunete;06/06/2020 09:00;;9,31;115;1071,16;262
Titulcia;06/06/2020 09:00;;0;9;685,45;1473
Villa del Prado;06/06/2020 09:00;;61,35;131;2009,2;1718
Lozoyuela-Navas-Sieteiglesias;06/06/2020 09:00;;0;;230,95;9015
Quijorna;06/06/2020 09:00;;0;33;959,58;1198
Valdemoro;06/06/2020 09:00;10;13,16;846;1113,41;1610
Valdemaqueda;05/06/2020 09:00;;0;;640,2;1599
Tres Cantos;06/06/2020 09:00;8;16,76;435;911,53;9036
Torrelaguna;06/06/2020 09:00;;0;24;504,2;1512
Rivas-Vaciamadrid;06/06/2020 09:00;7;7,94;585;663,64;1230
El Atazar;06/06/2020 09:00;;0;;0;0164,,
Pedrezuela;06/06/2020 09:00;;33,94;28;475,22;1087
Santa María de la Alameda;06/06/2020 09:00;;0;6;478,47;1356
Horcajuelo de la Sierra;06/06/2020 09:00;;0;;0;0719,,
Arroyomolinos;06/06/2020 09:00;6;19,11;192;611,54;151
Moralzarzal;06/06/2020 09:00;;23,03;79;606,48;908
Canencia;06/06/2020 09:00;;223,71;;671,14;344
Villarejo de Salvanés;06/06/2020 09:00;;13,63;40;545,33;1809
Serranillos del Valle;06/06/2020 09:00;;48,02;38;912,36;1408
Villaviciosa de Odón;06/06/2020 09:00;;7,19;221;793,96;1816
Camarma de Esteruelas;06/06/2020 09:00;;13,63;44;599,78;323
Robledo de Chavela;06/06/2020 09:00;;0;27;632,32;1258
Patones;06/06/2020 09:00;;184,84;10;1848,43;1071
Navalagamella;06/06/2020 09:00;;38,31;7;268,2;954
Rascafría;06/06/2020 09:00;;0;6;360,58;1202
El Boalo;06/06/2020 09:00;;13,32;44;586,04;231
Majadahonda;06/06/2020 09:00;15;20,88;609;847,88;800
Batres;06/06/2020 09:00;;118,76;10;593,82;170
Alcobendas;06/06/2020 09:00;16;13,67;837;715,14;66
Alcalá de Henares;06/06/2020 09:00;24;12,27;2453;1253,78;53
Colmenar Viejo;06/06/2020 09:00;16;31,53;469;924,1;455
San Fernando de Henares;06/06/2020 09:00;7;17,75;434;1100,63;1300
Villalbilla;06/06/2020 09:00;;0;93;670,13;1723
El Escorial;06/06/2020 09:00;;24,75;142;878,6;549
Colmenar del Arroyo;06/06/2020 09:00;;0;51;2956,52;421
Ribatejada;05/06/2020 09:00;;0;;255,43;1224
Torrejón de Ardoz;06/06/2020 09:00;29;22,07;1037;789,34;1489
Piñuécar-Gandullas;06/06/2020 09:00;;0;;0;1147,,
Brea de Tajo;06/06/2020 09:00;;190,84;7;1335,88;259
El Molar;06/06/2020 09:00;;0;38;425,15;869
Belmonte de Tajo;06/06/2020 09:00;;0;;300,48;199
Lozoya;03/06/2020 09:00;;0;;172,12;761
Torres de la Alameda;06/06/2020 09:00;;0;78;1002,7;1548
Somosierra;06/06/2020 09:00;;0;;2325,58;1436
Alpedrete;06/06/2020 09:00;;13,72;148;1015,44;105
Orusco de Tajuña;06/06/2020 09:00;6;482,32;23;1848,87;1028
La Hiruela;06/06/2020 09:00;;0;;3508,77;698
Cervera de Buitrago;06/06/2020 09:00;;0;;2000;0395,,
Getafe;06/06/2020 09:00;47;25,63;1483;808,73;650
Ribatejada;06/06/2020 09:00;;0;;255,43;1224
Villaconejos;06/06/2020 09:00;;0;9;265,64;1701
Valdetorres de Jarama;06/06/2020 09:00;;0;18;400,27;1646
Madrid-Retiro;05/06/2020 09:00;51;42,74;1566;1312,47;79603
Madrid-Salamanca;05/06/2020 09:00;25;17,11;1695;1160,13;79604
Madrid-Centro;05/06/2020 09:00;30;22,25;1209;896,57;79601
Madrid-Arganzuela;05/06/2020 09:00;35;22,76;1658;1078;79602
Madrid-Chamartin;05/06/2020 09:00;32;21,94;1720;1179,3;79605
Madrid-Tetuan;05/06/2020 09:00;23;14,55;2165;1370,05;79606
Madrid-Chamberi;05/06/2020 09:00;31;22,24;1613;1157,28;79607
Madrid-Fuencarral-El Pardo;05/06/2020 09:00;62;25,21;3084;1253,97;79608
Madrid-Moncloa-Aravaca;05/06/2020 09:00;24;20,1;1463;1225,1;79609
Madrid-Latina;05/06/2020 09:00;75;31,48;2921;1226,19;79610
Madrid-Carabanchel;05/06/2020 09:00;56;22,13;2821;1114,58;79611
Madrid-Usera;05/06/2020 09:00;18;12,88;1442;1031,91;79612
Madrid-Puente de Vallecas;05/06/2020 09:00;69;29,38;3203;1363,81;79613
Madrid-San Blas - Canillejas;05/06/2020 09:00;24;15,18;1509;954,21;79620
Madrid-Barajas;05/06/2020 09:00;;10,22;436;890,8;79621
Madrid-Moratalaz;05/06/2020 09:00;76;80,36;1428;1509,99;79614
Madrid-Ciudad Lineal;05/06/2020 09:00;48;22,19;2289;1058,33;79615
Madrid-Hortaleza;05/06/2020 09:00;33;17,54;1803;958,09;79616
Madrid-Villaverde;05/06/2020 09:00;26;17,46;1471;987,61;79617
Madrid-Villa de Vallecas;05/06/2020 09:00;17;15,4;1255;1137,14;79618
Madrid-Vicalvaro;05/06/2020 09:00;17;23,58;863;1197,1;79619
Pozuelo de Alarcón;05/06/2020 09:00;20;23,14;829;959,25;1150
Alcorcón;05/06/2020 09:00;24;14,08;1918;1124,83;72
Navalcarnero;05/06/2020 09:00;10;34,13;194;662,16;967
